,cam,frame,id,x,y
884,1,269,0,1277,679
885,1,269,1,1111,689
886,2,269,0,1345,891
887,2,269,1,1543,887
888,1,270,0,1275,681
889,1,270,1,1113,689
890,2,270,0,1343,899
891,2,270,1,1541,895
892,1,271,0,1275,679
893,1,271,1,1113,689
894,2,271,0,1343,907
895,2,271,1,1543,899
896,1,272,0,1275,681
897,1,272,1,1113,689
898,2,272,0,1339,913
899,2,272,1,1543,905
900,1,273,0,1275,681
901,1,273,1,1113,689
902,2,273,0,1341,919
903,2,273,1,1541,911
904,1,274,0,1277,677
905,1,274,1,1115,689
906,2,274,0,1345,927
907,2,274,1,1541,917
908,1,275,0,1277,683
909,1,275,1,1115,691
910,2,275,0,1341,933
911,2,275,1,1541,923
912,1,276,0,1275,683
913,1,276,1,1115,693
914,2,276,0,1347,937
915,2,276,1,1541,931
916,1,277,0,1273,685
917,1,277,1,1115,695
918,2,277,0,1347,939
919,2,277,1,1543,933
920,1,278,0,1273,687
921,1,278,1,1113,697
922,2,278,0,1349,953
923,2,278,1,1545,945
924,1,279,0,1269,691
925,1,279,1,1111,701
926,2,279,0,1351,961
927,2,279,1,1547,951
928,1,280,0,1269,697
929,1,280,1,1111,705
930,2,280,0,1357,969
931,2,280,1,1549,959
932,1,281,0,1265,701
933,1,281,1,1109,709
934,2,281,0,1357,979
935,2,281,1,1555,965
936,1,282,0,1265,707
937,1,282,1,1107,713
938,2,282,0,1363,983
939,2,282,1,1555,973
940,1,283,0,1263,711
941,1,283,1,1105,717
942,2,283,0,1365,991
943,2,283,1,1557,977
944,1,284,0,1257,715
945,1,284,1,1103,723
946,2,284,0,1369,997
947,2,284,1,1565,983
948,1,285,0,1255,719
949,1,285,1,1101,727
950,2,285,0,1373,1007
951,2,285,1,1565,989
952,1,286,0,1253,727
953,1,286,1,1099,733
954,2,286,0,1375,1009
955,2,286,1,1567,997
956,1,287,0,1249,733
957,1,287,1,1097,737
958,2,287,0,1379,1013
959,2,287,1,1567,999
960,1,288,0,1249,737
961,1,288,1,1095,743
962,2,288,0,1383,1013
963,2,288,1,1567,999
964,1,290,0,1243,749
965,1,290,1,1093,753
966,2,290,0,1381,1017
967,2,290,1,1569,1007
968,1,291,0,1243,755
969,1,291,1,1091,759
970,2,291,0,1385,1021
971,2,291,1,1571,1009
972,1,292,0,1241,759
973,1,292,1,1091,765
974,2,292,0,1381,1023
975,2,292,1,1567,1009
976,1,293,0,1241,763
977,1,293,1,1091,771
978,2,293,0,1383,1025
979,2,293,1,1569,1011
980,1,294,0,1243,767
981,1,294,1,1093,773
982,2,294,0,1381,1027
983,2,294,1,1567,1011
984,1,295,0,1243,773
985,1,295,1,1093,779
986,2,295,0,1379,1025
987,2,295,1,1567,1013
988,1,296,0,1245,777
989,1,296,1,1093,783
990,2,296,0,1379,1025
991,2,296,1,1563,1011
992,1,297,0,1245,781
993,1,297,1,1095,789
994,2,297,0,1379,1025
995,2,297,1,1561,1011
996,1,298,0,1245,787
997,1,298,1,1095,793
998,2,298,0,1377,1025
999,2,298,1,1563,1015
1000,1,299,0,1247,789
1001,1,299,1,1097,797
1002,2,299,0,1381,1029
1003,2,299,1,1561,1013
1004,1,300,0,1247,793
1005,1,300,1,1097,803
1006,2,300,0,1381,1027
1007,2,300,1,1559,1017
1008,1,301,0,1249,799
1009,1,301,1,1097,809
1010,2,301,0,1381,1027
1011,2,301,1,1561,1013
1012,1,302,0,1249,803
1013,1,302,1,1097,813
1014,2,302,0,1379,1025
1015,2,302,1,1559,1011
1016,1,303,0,1247,811
1017,1,303,1,1097,819
1018,2,303,0,1381,1027
1019,2,303,1,1557,1015
1020,1,304,0,1249,815
1021,1,304,1,1097,823
1022,2,304,0,1381,1027
1023,2,304,1,1557,1017
1024,1,305,0,1249,821
1025,1,305,1,1099,829
1026,2,305,0,1379,1025
1027,2,305,1,1553,1013
1028,1,306,0,1249,827
1029,1,306,1,1099,835
1030,2,306,0,1379,1027
1031,2,306,1,1553,1011
1032,1,307,0,1251,833
1033,1,307,1,1099,841
1034,2,307,0,1379,1027
1035,2,307,1,1553,1013
1036,1,308,0,1251,837
1037,1,308,1,1101,847
1038,2,308,0,1377,1025
1039,2,308,1,1551,1013
1040,1,309,0,1251,845
1041,1,309,1,1101,851
1042,2,309,0,1375,1023
1043,2,309,1,1551,1013
1044,1,310,0,1251,851
